university,word,frequency,level,sample
University of Birmingham,research,171,unit,b_env
University of Birmingham,staff,71,unit,b_env
University of Birmingham,school,67,unit,b_env
University of Birmingham,security,45,unit,b_env
University of Birmingham,university,44,unit,b_env
University of Birmingham,impact,40,unit,b_env
University of Birmingham,ai,38,unit,b_env
University of Birmingham,work,37,unit,b_env
University of Birmingham,new,34,unit,b_env
University of Birmingham,including,33,unit,b_env
University of Birmingham,students,31,unit,b_env
University of Birmingham,computer,29,unit,b_env
University of Birmingham,science,28,unit,b_env
University of Birmingham,academic,28,unit,b_env
University of Birmingham,support,28,unit,b_env
University of Birmingham,international,26,unit,b_env
University of Birmingham,training,26,unit,b_env
University of Birmingham,period,25,unit,b_env
University of Birmingham,phd,24,unit,b_env
University of Birmingham,development,24,unit,b_env
Lancaster University,research,178,unit,b_env
Lancaster University,staff,91,unit,b_env
Lancaster University,school,51,unit,b_env
Lancaster University,impact,45,unit,b_env
Lancaster University,new,44,unit,b_env
Lancaster University,including,43,unit,b_env
Lancaster University,support,36,unit,b_env
Lancaster University,academic,35,unit,b_env
Lancaster University,period,33,unit,b_env
Lancaster University,co,32,unit,b_env
Lancaster University,health,32,unit,b_env
Lancaster University,scc,31,unit,b_env
Lancaster University,systems,31,unit,b_env
Lancaster University,science,29,unit,b_env
Lancaster University,security,27,unit,b_env
Lancaster University,students,27,unit,b_env
Lancaster University,university,26,unit,b_env
Lancaster University,data,26,unit,b_env
Lancaster University,strategy,25,unit,b_env
Lancaster University,computing,25,unit,b_env
The University of Manchester,research,126,unit,b_env
The University of Manchester,support,75,unit,b_env
The University of Manchester,staff,72,unit,b_env
The University of Manchester,unit,69,unit,b_env
The University of Manchester,pgr,50,unit,b_env
The University of Manchester,impact,47,unit,b_env
The University of Manchester,data,43,unit,b_env
The University of Manchester,pgrs,43,unit,b_env
The University of Manchester,science,34,unit,b_env
The University of Manchester,academics,33,unit,b_env
The University of Manchester,funding,32,unit,b_env
The University of Manchester,uom,32,unit,b_env
The University of Manchester,strategy,31,unit,b_env
The University of Manchester,time,31,unit,b_env
The University of Manchester,via,31,unit,b_env
The University of Manchester,new,30,unit,b_env
The University of Manchester,institutional,29,unit,b_env
The University of Manchester,software,29,unit,b_env
The University of Manchester,period,28,unit,b_env
The University of Manchester,ii,26,unit,b_env
University of Sheffield,research,186,unit,b_env
University of Sheffield,staff,80,unit,b_env
University of Sheffield,university,56,unit,b_env
